,theta_0,theta_1,theta_2,theta_3,t_miqp,obj_miqp,s_miqp,t_qp,obj_qp,s_qp,t_qp_dt,obj_qp_dt,s_qp_dt,t_qp_rf,obj_qp_rf,s_qp_rf
306,0.4498025678497315,0.3188517045031457,0.0038506754218914467,0.007243197868880212,0.011886119842529297,0.40316770643515965,Solved,0.00020209699999999999,0.4031674479758832,solved,0.000200084,0.4031674479758832,solved,0.000228771,0.4031674479758832,solved
307,0.6372458711649772,0.10150467281473335,-0.00530266965131565,-0.006375699751059489,0.0054798126220703125,0.5444130110331764,Solved,0.00020748100000000003,0.5444290576624372,solved,0.000240005,0.5444290576624372,solved,0.000207016,0.5444290576624372,solved
308,0.2206644633361597,0.08190943327284861,0.0020914461027888437,-0.009945766314381273,0.001873016357421875,0.06638786971099923,Solved,0.000198457,0.06638786021441329,solved,0.00019465200000000002,0.06638786021441329,solved,0.000195606,0.06638786021441329,solved
309,0.27541640004981105,0.27100603633330594,-0.008778808962624656,-0.0075737385495937785,0.009061574935913086,0.17897231597903873,Solved,0.00030487799999999996,0.1789725919676476,solved,0.000315045,0.1789725919676476,solved,0.00030771,0.1789725919676476,solved
310,0.31954482079763574,0.03196977730596891,0.00017870729669680792,-0.0007590344061015383,0.0016448497772216797,0.131021326073025,Solved,0.00020071500000000002,0.13102132146216172,solved,0.000207755,0.13102132146216172,solved,0.000231668,0.13102132146216172,solved
311,0.14548721984149798,0.11716049985932271,0.00027308498146573663,-0.008145159826978965,0.002877950668334961,0.03835068979813791,Solved,0.00022434100000000003,0.03835075800091316,solved,0.00021806699999999998,0.03835075800091316,solved,0.000194159,0.03835075800091316,solved
312,0.39011114785725176,0.1317673869851182,0.006863080161397151,-0.001429807876803739,0.007006168365478516,0.22254462741549813,Solved,0.000201093,0.22254513306050344,solved,0.000195604,0.22254513306050344,solved,0.000196207,0.22254513306050344,solved
313,0.5410275445933396,0.1344758366758834,0.0027247698624383795,0.007013249280693442,0.005791664123535156,0.41301533487894176,Solved,0.00024459199999999996,0.4130125942552783,solved,0.000201669,0.4130125942552783,solved,0.000198643,0.4130125942552783,solved
314,0.523049905271469,0.07846893787373342,0.004855111042983657,0.006701546146083008,0.0069239139556884766,0.374073078772234,Solved,0.00019947999999999998,0.37407135671485203,solved,0.00025535,0.37407135671485203,solved,0.00022220600000000002,0.37407135671485203,solved
315,0.6416935556564202,0.03457020671376293,-0.0036084823109975095,0.004793386822704677,0.0030281543731689453,0.5454564797888183,Solved,0.000224306,0.5454573330662932,solved,0.000209315,0.5454573330662932,solved,0.000304915,0.5454573330662932,solved
316,0.638645600578886,0.13531938756742953,0.007612421734771517,-0.005961941038674715,0.005089521408081055,0.574875628323738,Solved,0.00021429400000000002,0.5748733678182979,solved,0.000205549,0.5748733678182979,solved,0.000196552,0.5748733678182979,solved
