,theta_0,theta_1,t_miqp,obj_miqp,s_miqp,t_qp,obj_qp,s_qp,t_qp_dt,obj_qp_dt,s_qp_dt,t_qp_rf,obj_qp_rf,s_qp_rf
0,0.0905803327580369,0.06785150680903274,0.04360079765319824,0.001465830508110445,2,0.003744840621948242,0.001465831965054858,2,0.003551006317138672,0.001465831965054858,2,0.021857023239135742,0.0015633543863706949,2
1,0.24748507351599158,0.7930765716128776,0.05578899383544922,0.5196176678203616,2,0.03067612648010254,0.519608039895989,2,0.03067803382873535,0.519608039895989,2,0.029822111129760742,0.519608039895989,2
2,0.21719866760977935,0.8789174963061619,0.050065040588378906,0.6485361191633261,2,0.026185989379882812,0.648516349593948,2,0.026561975479125977,0.648516349593948,2,0.027365922927856445,0.648516349593948,2
3,0.6440915380258442,0.9822170627110839,0.10369396209716797,1.23428713428819,2,0.003612041473388672,1.234306934299557,2,0.003203868865966797,1.234306934299557,2,0.0031638145446777344,1.234306934299557,2
4,0.04386833002233226,0.24388455309132284,0.05703592300415039,0.009979662334656882,2,0.02484607696533203,0.00997972269706183,2,0.024267911911010742,0.00997972269706183,2,0.025368928909301758,0.00997972269706183,2
5,0.1028748102417173,0.9787500855539857,0.05628490447998047,0.8004717484728423,2,0.013743877410888672,0.8008382194113751,2,0.021963834762573242,0.8004598027470528,2,0.022530794143676758,0.8004598027470528,2
6,0.8835839187789853,0.5976914261262677,0.06575202941894531,0.9801613123719818,2,0.003936052322387695,0.9856759720083784,2,0.00360107421875,0.9801735342205344,2,8.106231689453125e-05,,4
7,0.4550794547228205,0.6871254212187572,0.05457806587219238,0.5106562694130243,2,0.004065036773681641,0.5106562694130243,2,0.0038771629333496094,0.5106562694130243,2,0.0035009384155273438,0.5106562694130243,2
8,0.7006854989032401,0.9326284605304256,0.06618309020996094,1.2140551798912274,2,0.0036199092864990234,1.2140551815420944,2,0.0031900405883789062,1.2140551815420944,2,0.0031919479370117188,1.2140551815420944,2
9,0.7181180072214061,0.579373104741968,0.03430891036987305,0.7085092625900714,2,0.00394892692565918,0.7085092660680274,2,0.0038869380950927734,0.7085092660680274,2,0.0033020973205566406,0.7085092660680274,2
10,0.21429132351927827,0.3060443301067015,0.08428001403808594,0.045182027203221745,2,0.0047872066497802734,0.04676385190600028,2,0.0036590099334716797,0.045185372921629594,2,0.003632068634033203,0.045185372921629594,2
11,0.41396883303433285,0.3106924356454279,0.0711369514465332,0.13596658737506612,2,0.003998994827270508,0.13597417064222944,2,0.003473997116088867,0.13597417064222944,2,0.003345012664794922,0.13597417064222944,2
12,0.010843264478454073,0.011086846904247771,0.05458188056945801,0.0001978259483676904,2,0.018411874771118164,0.0001978259483676959,2,0.011996030807495117,0.00183208460334091,2,0.011220932006835938,0.00183208460334091,2
13,0.5591985752423341,0.32360511623083943,0.05974984169006348,0.262504867531135,2,0.0038671493530273438,0.2625104634828518,2,0.00357818603515625,0.2625104634828518,2,0.003407001495361328,0.2625104634828518,2
14,0.933802091561435,0.14945372331826956,0.045436859130859375,0.7242891724465275,2,0.003931999206542969,0.7254651135428744,2,0.003740072250366211,0.7254651135428744,2,0.001875162124633789,0.7242747047533696,2
